,year,run_mean
0,1990,113.25
1,1991,142.25
2,1992,114.6
3,1993,130.7
4,1994,125.16666666666667
5,1995,107.66666666666667
6,1996,121.5
7,1997,135.0
8,1998,117.5
9,1999,120.28571428571429
10,2000,135.0
11,2001,134.11111111111111
12,2002,139.0
13,2003,152.5
14,2004,117.11111111111111
15,2005,124.0
16,2006,113.75
17,2007,116.625
18,2008,120.4
19,2009,91.5
20,2010,124.0
21,2011,121.0
22,2012,121.125
23,2013,124.625
24,2014,124.55555555555556
25,2015,112.57142857142857
26,2016,122.875
27,2017,110.63636363636364
28,2018,126.125
29,2019,140.6
30,2020,110.5
31,2021,156.0
