,title,year,genre,runtime,directors,stars,movie_score
3250,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",201 min,Peter Jackson,"Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom",92.0
750,Schindler's List,1993,"Biography, Drama, History",195 min,Steven Spielberg,"Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall",92.0
1002,Pulp Fiction,1994,"Crime, Drama",154 min,Quentin Tarantino,"John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis",91.5
2756,Spirited Away,2001,"Animation, Adventure, Family",125 min,Hayao Miyazaki,"Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi",91.0
7252,Parasite,2019,"Comedy, Drama, Horror",132 min,Bong Joon Ho,"Kang-ho Song,Sun-kyun Lee,Yeo-jeong Cho,Choi Woo-sik",90.5
2750,The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",178 min,Peter Jackson,"Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean",90.0
4501,WALL·E,2008,"Animation, Adventure, Family",98 min,Andrew Stanton,"Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard",89.5
6030,Boyhood,2014,Drama,165 min,Richard Linklater,"Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith",89.5
7572,"Quo Vadis, Aida?",2020,"Drama, History, War",101 min,Jasmila Zbanic,"Jasna Djuricic,Izudin Bajrovic,Boris Ler,Dino Bajrovic",89.0
1253,Toy Story,1995,"Animation, Adventure, Comedy",81 min,John Lasseter,"Tom Hanks,Tim Allen,Don Rickles,Jim Varney",89.0
